R,P,U
0.7219168194298144,0.09165869935649261,0.7720562336272312
0.7218785720081544,0.09579127538042813,0.7774192237542427
0.7213555545397935,0.09065698537808985,0.7766483056922308
0.7354510894645612,0.08666588888066105,0.7729628716976796
0.7654585264480666,0.0782308781916782,0.7812268374830494
0.7468248984995357,0.08370972843366349,0.7717628292864334
0.7612746705893564,0.07588296140079302,0.7827822132378948
0.7428290347994074,0.08329613392343867,0.7852242833353079
0.7297809606685739,0.09333087615780504,0.7753328367630917
0.7271823178744968,0.09496849251622194,0.7760992139247838
0.7613646142924242,0.08316747020479714,0.7730095252992272
0.7132870923628931,0.09567734647738585,0.7759516854735455
0.737602230735222,0.0838329445584495,0.7724427874482759
0.7513020337205654,0.08744217082040481,0.7762114499981839
0.726825506717001,0.08895863145095159,0.7721366045951166
0.7220005416978187,0.08904488650650072,0.7725836607393071
0.7502327217646497,0.08435136922125024,0.7715223198761396
0.7646638200572763,0.07632407643638095,0.7794090577844532
0.7679067561726793,0.083503111808561,0.7742312039100061
0.7561984988659154,0.08502564538703651,0.7731840623814598
0.7047686223713879,0.09434249376442559,0.7733530970209547
0.7649576903832933,0.08316986030465369,0.7744021204930083
0.7227806496420102,0.08769601738670565,0.7728588366038354
0.7480635479755735,0.08473286376760923,0.7725016099633406
0.7577833992557179,0.08325606301896028,0.7720353090349363
0.7637217502118422,0.07893315453726518,0.7852754634782537
0.7561924235210901,0.08366438055530644,0.771160312241943
0.7366789082870313,0.08952375851594113,0.7759615158945923
0.7514777853118534,0.08073048591765658,0.7721177241656885
0.6956042109398064,0.09616697511140879,0.7744249154295344
0.7774936108932552,0.07790435799228396,0.7841030652324948
0.7367321429002717,0.08929081183375802,0.7760128257578492
0.7418132092458278,0.08468646882892217,0.7728378310127422
0.7064038500272988,0.08883328924804097,0.7745817581967714
0.7631631814093274,0.07542895421110073,0.7793690256382289
0.7793734741094516,0.0745370567486961,0.7820788694186597
0.7635142757146782,0.0781545565851813,0.7719349878051349
0.7111977590770456,0.08980830876477686,0.7734427479758366
0.7419420244130486,0.08685925887861845,0.771450906604075
0.7186197490083768,0.09264181041204937,0.7765405693990074
0.713352336112845,0.09164133675470025,0.7729730546830945
0.749121936483931,0.08514384472639228,0.771941507303993
0.7446529728293905,0.0837496893690389,0.7720909727290364
0.7096635546914916,0.09240399033558125,0.7738039852980979
0.7834580482454743,0.07240520553451477,0.7790757360547189
0.7877493135308998,0.0687593245429206,0.7800456273837354
0.7452727286673958,0.08262214678566683,0.7722143614035761
0.7352848876049095,0.08727213892017419,0.7723105819111644
0.7754185858790442,0.07647477970408205,0.7824699716827119
0.7423164460072564,0.09037013517695966,0.7766608121198606
0.7403621839679344,0.0838548575065975,0.7860990237643255
0.7181126008306792,0.09189807063273245,0.7727890470488146
0.7540839203656464,0.0819912976597041,0.7715979891861579
0.7346787790988165,0.08823891162042105,0.7722548978238627
0.7325814854027335,0.08576243610629562,0.7724181863941671
0.7328907282390316,0.08771281405222346,0.7720225641135522
0.7095138084055627,0.09482762750160206,0.7746121632959281
0.7628194801813777,0.08279612570287356,0.7738819653482787
0.7943885568872033,0.07667813998223257,0.7707494514578442
0.7733323017747672,0.07888620367155931,0.7709578340100565
0.7164706653519903,0.09340014285364293,0.7751678665200089
0.7745712452994209,0.07602608984559005,0.7716905204242288
0.7358735132549835,0.08980658428310513,0.7763532727520479
0.7205849528174301,0.08735065994431909,0.7734853609228964
0.7341239147347234,0.08902574379155426,0.7754343845971274
0.7487238180379966,0.0858667629470123,0.7710990988598054
0.7543721323975897,0.08160234175584295,0.7719541170120048
0.7628175903288478,0.08127937816641413,0.7713499657731809
0.7521699353890116,0.0823685719237156,0.7722305875030894
0.7375571884329678,0.08097613777990255,0.7807883527108654
0.7025488383107077,0.09548724815565662,0.7728509637061695
0.7174984330985458,0.09042926719567891,0.7726806894820089
0.7421271407779071,0.08823286857161812,0.7719110703399065
0.772275042627434,0.07773938494143098,0.7712763826677266
0.6997292669817656,0.09645036677833915,0.7730614792935674
0.725518077254981,0.08737884066010153,0.7754445408902925
0.7134401095002426,0.08457277031195802,0.7813514502557307
0.7564890234620725,0.07660917714963766,0.780222456390771
0.762054133525523,0.08242941217451169,0.7715228579564013
0.740640271920467,0.09019215886147498,0.7760274685592047
0.7744989840815717,0.0797868496359253,0.773955661935479
0.8175275273027639,0.06645831511400653,0.7791987186543686
0.7347175161343085,0.08718583585566239,0.7742664010759966
0.7586561417129957,0.07977342546690282,0.7717729199134193
0.7204360428059318,0.09836762483329124,0.7766732432504084
0.7666412670869379,0.08085062955383777,0.7710413929338658
