w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.225,4.5,2,0.7601161617072533,0.0759610876512919,0.7793491576968872,0.7622534713780987,0.5658362210545353,0.8504168072425661
0.21,3.45,4,0.7376248488572092,0.1091980036525794,0.77370180687822,0.7617670141376528,0.6829345699181764,0.7706144610856072
0.225,3.45,4,0.7370411291057786,0.1106692860060779,0.7722890597551497,0.7607926814198644,0.6861570890518428,0.7831098754310847
0.21,4.5,2,0.7597224115945322,0.0763247423877054,0.7797845202318276,0.7603024948059774,0.5661984461530145,0.8440824290075117
0.205,3.45,4,0.737938766675151,0.1088325891024159,0.7744679596484394,0.7594966734033342,0.6791772658014354,0.7631305660789567
0.23,4.5,2,0.7603869793323833,0.0759469151072744,0.7796214221262564,0.7593899143474303,0.5633511204420018,0.8480514651044204
0.23,3.45,4,0.7369801617272379,0.1112995070015464,0.7721561997473985,0.7581622152671358,0.6844916027416529,0.7830845618392717
0.16,4.5,4,0.7465143643488743,0.0819853337126075,0.7841712359547353,0.7571408462782522,0.6382974827663905,0.7839125388497163
0.205,4.5,2,0.7597166139045542,0.0765372399908377,0.780307157145622,0.75630765532171,0.5641348994121957,0.8380811397297545
0.22,3.4,4,0.736311394698221,0.1119946098350513,0.7732503351514802,0.7518362345290476,0.6840374203888578,0.770567934892312
0.215,3.4,4,0.7365172133851685,0.1115051220363513,0.7737761841407449,0.7517529096436155,0.6827515470788945,0.7658468800264713
0.225,3.4,4,0.7361705448985159,0.1125526535777053,0.7728877352108587,0.7506668377656379,0.6839379514112375,0.7733607620092555
0.21,3.4,4,0.7367837187301827,0.1110797703077944,0.7744524295396776,0.7503205493637265,0.6800878485206964,0.75946401400504
0.23,3.4,4,0.7360988314624899,0.1131835810458197,0.7727009223059985,0.7482967952866858,0.6824300813073771,0.7739866049478965
0.22,3.35,4,0.7354772559392995,0.1139702084908357,0.7741698832006881,0.7391558076884344,0.6795819584355015,0.7576967158575925
0.215,3.35,4,0.7356934933845778,0.1134802602646611,0.7747499930715046,0.7384703473504652,0.678011003832187,0.752567997250998
0.225,3.35,4,0.7353255216918989,0.1145287989310396,0.7737513558319633,0.7384684903870511,0.6797271383022783,0.7610090363375898
0.155,4.5,4,0.7471910740169418,0.0819284374205273,0.7857679601401979,0.7375024752813717,0.624922852940168,0.7727713509931178
0.23,3.35,4,0.735242459848193,0.1151603418989891,0.7735069465574048,0.7364682004913019,0.6784309268004173,0.76226498970086
0.21,3.35,4,0.7359699503146439,0.1130545516801836,0.7754788376441811,0.7363161165624497,0.6750169961470379,0.7458855585394814
0.235,3.35,4,0.7352321177115989,0.1158690479849225,0.7734488485730121,0.7331625442433837,0.6756555853046491,0.7612626010900451
