w,r,n,R,P,U,worst_regret_reasonable,worst_regret_fullsimplex,dist_utopia,freq_optimal
0.185,3.7,10,0.7329841892430071,0.1187314057826847,0.8090377897694645,0.5427179450711838,0.7544299485831167,0.9654569592176566,0.0
0.185,4.5,4,0.7435114837335828,0.0824880464354791,0.777030278051628,0.1418011837226799,0.5779122280518307,0.5929378087586874,0.0
0.185,4.5,6,0.7387229716028226,0.0915188799101546,0.7952494268764502,0.3237088575162126,0.4754738299599747,0.6862487314413445,0.0
0.19,3.3,10,0.7247732355236481,0.1338534400100781,0.8122132456255254,0.5825989342595496,0.8186734593855972,1.0796742534770294,0.0
0.19,3.35,10,0.7254702661042627,0.1318104217103423,0.8107140193207317,0.5608377612734089,0.7883422043868726,1.0428559642788306,0.0
0.19,3.4,10,0.7262536653661117,0.129863400405253,0.8095620201686285,0.5443835674506424,0.7650357963222384,1.0128524677825985,0.0
0.19,3.45,10,0.7271128728912548,0.1280088349465667,0.8087343221729155,0.5328718882446292,0.7482904131271646,0.9894113695146313,0.0
0.19,3.5,10,0.7280370816202191,0.1262430722948646,0.8082068443574599,0.5259211677277211,0.7376188660261049,0.9722677083812201,0.0
0.19,3.55,10,0.7290152730230147,0.1245623541072588,0.8079544552095264,0.5231343488526349,0.7325127125518719,0.9611260863681444,0.0
0.19,3.6,10,0.7300362530214596,0.1229628234736338,0.8079510814194236,0.5241005261128421,0.7324444564869996,0.9556438660983344,0.0
0.19,3.65,10,0.7310886885435928,0.1214405317958013,0.8081698204103497,0.5283966531498651,0.736869824485632,0.9554181310250741,0.0
0.19,3.7,10,0.7321611445766384,0.1199914457877719,0.8085830561608632,0.5355892978859649,0.7452301093094369,0.9599783697698384,0.0
0.19,3.75,10,0.7332421215901942,0.1186114545942342,0.8091625777935822,0.5452364374212678,0.7569545690278089,0.9687856592122702,0.0
0.19,4.5,4,0.7430215596735827,0.0826674488041646,0.7758695986705944,0.13005609151070668,0.5656583091262342,0.5774401494977288,0.0015082956259426848
0.19,4.5,6,0.7379595172494544,0.0921331039337024,0.7941431988325436,0.3066150606448341,0.4530934296300273,0.6601790059051865,0.0
0.195,3.25,10,0.7235654633077266,0.1373567575258148,0.8134263886526623,0.601186202098649,0.8432168858105188,1.1229761654991741,0.0
0.195,3.3,10,0.7241509445146532,0.1352124108735955,0.8116016098578456,0.5743052199769095,0.8062992898712814,1.0795335612133163,0.0
0.195,3.35,10,0.7248325121000333,0.1331673931310094,0.8101425497135605,0.5530309004996403,0.7767806473866323,1.0429741023783006,0.0
0.195,3.4,10,0.7255998741462499,0.1312182898730937,0.809027445686521,0.5370161031810806,0.754220674628621,1.0130430312529544,0.0
0.195,3.45,10,0.7264424589331246,0.1293615683701499,0.8082332890592655,0.5258951964022831,0.7381538759784153,0.9894938077190698,0.0
0.195,3.5,10,0.7273494492900912,0.1275935839982911,0.8077359248779471,0.5192855822102418,0.7280915659972172,0.9720718972935507,0.0
0.195,3.55,10,0.7283098178337882,0.1259105868155992,0.80751015661951,0.516789289904426,0.7235239869763725,0.9604964639667402,0.0
0.195,3.6,10,0.7293123629468757,0.1243087282881224,0.8075298551270185,0.517994631595612,0.7239225128376278,0.9544427117747826,0.0
0.195,3.65,10,0.730345745394258,0.1227840681513538,0.8077680713048433,0.5224779123012171,0.7287419291000848,0.9535276289215889,0.0
0.195,3.7,10,0.7313985254245338,0.1213325814037751,0.8081971520749041,0.5298051870994194,0.7374227788224708,0.9573012496807142,0.0
0.195,3.75,10,0.7324592002462534,0.119950165406655,0.8087888590768844,0.5395340577369305,0.7493937640594626,0.9652444238208958,0.0
0.195,4.5,4,0.7425798113155138,0.0828847945917701,0.7748306822790932,0.11959742527435868,0.5546093547938172,0.564290262936691,0.006033182503770739
0.195,4.5,6,0.737250798301733,0.0927996454930459,0.7931494132678061,0.291387730985439,0.4329878836682705,0.6371385863351284,0.0
0.2,3.25,10,0.7230189323495522,0.1388042485570631,0.8128386871049832,0.5936950201431754,0.8313269360085431,1.1247801049827078,0.0
0.2,3.3,10,0.7235899903235727,0.136657910827612,0.8110589431883795,0.5673720488674739,0.7953204529350191,1.0818437227917623,0.0
0.2,3.35,10,0.7242565710869271,0.1346108017187949,0.8096417244385615,0.546609358516318,0.7666483150781422,1.0456074072872923,0.0
