w,r,n,R,P,U
0.195,4.5,4.0,0.7425798113155138,0.08288479459177012,0.7748306822790932
0.195,4.5,6.0,0.737250798301733,0.0927996454930459,0.7931494132678061
0.2,3.25,10.0,0.7230189323495522,0.13880424855706316,0.8128386871049832
0.2,3.3,10.0,0.7235899903235727,0.136657910827612,0.8110589431883795
0.2,3.35,10.0,0.7242565710869271,0.13461080171879494,0.8096417244385615
0.2,3.4,10.0,0.7250083705518207,0.13265951604219647,0.8085651801504382
0.2,3.45,10.0,0.7258348059456006,0.13080053031993072,0.8078062219858476
0.2,3.5,10.0,0.7267250502249223,0.12903020918293662,0.8073406241534862
0.2,3.55,10.0,0.7276680673743157,0.12734481193247166,0.8071431282890291
0.2,3.6,10.0,0.7286526484470965,0.12574049925225061,0.8071875525592105
0.2,3.65,10.0,0.7296674482316445,0.12421334005747062,0.8074469045121211
0.2,3.7,10.0,0.7307010224076126,0.1227593184717838,0.8078934971500297
0.2,4.5,4.0,0.7421909544345011,0.08314501413682115,0.7739272048904721
0.2,4.5,6.0,0.7366015348927336,0.09352335982194039,0.7922818124323434
0.205,3.2,10.0,0.722085699387914,0.1425934030439801,0.8144444199646093
0.205,3.25,10.0,0.7225378518567895,0.1403426213161403,0.8123314884825816
0.205,3.3,10.0,0.7230949663200604,0.1381942285260046,0.8105984841288337
0.205,3.35,10.0,0.7237470378812103,0.13614495401556528,0.8092247953985203
0.205,3.4,10.0,0.7244837505705555,0.13419140264904839,0.8081884864901039
0.205,3.45,4.0,0.737938766675151,0.10883258910241596,0.7744679596484394
0.205,3.45,10.0,0.7252945108347141,0.1323300610225008,0.8074663925799878
0.205,3.5,4.0,0.7387875462318125,0.10704043562367757,0.773923987400358
0.205,3.5,10.0,0.7261684820193257,0.13055730384812556,0.8070342202198538
0.205,3.55,4.0,0.7396413144825613,0.10533370885285734,0.7736077212721079
0.205,3.55,10.0,0.7270946197212584,0.1288694005012133,0.8068666524016008
0.205,3.6,4.0,0.7404884439332406,0.10370842989123143,0.7734920552898858
0.205,3.6,10.0,0.7280617078903104,0.12726252171581048,0.8069374578270126
0.205,3.65,10.0,0.729058395547885,0.12573274641938295,0.8072196038809277
0.205,4.5,2.0,0.7597166139045542,0.07653723999083778,0.780307157145622
0.205,4.5,4.0,0.7418596275471375,0.08345298981839915,0.7731726369898488
0.205,4.5,6.0,0.736016364001046,0.09430903880781677,0.7915539427364878
0.21,3.15,10.0,0.7213623059134864,0.14658692840367551,0.816436623339176
0.21,3.2,10.0,0.7216874700517147,0.14422879183181847,0.8139792016651192
0.21,3.25,10.0,0.7221267156950427,0.1419760417190064,0.8119178656054764
0.21,3.3,4.0,0.7351948226573888,0.11512600259149697,0.7768054273284712
0.21,3.3,10.0,0.7226703678383551,0.13982554866313546,0.810233319073261
0.21,3.35,4.0,0.7359699503146439,0.11305455168018365,0.7754788376441811
0.21,3.35,10.0,0.7233084089848392,0.1377740528163829,0.8089048601383547
0.21,3.4,4.0,0.7367837187301827,0.11107977030779449,0.7744524295396776
0.21,3.4,8.0,0.7306388232760891,0.13257895844876585,0.806533448723942
0.21,3.4,10.0,0.7240305115926406,0.13581816989885556,0.8079104710150818
0.21,3.45,4.0,0.7376248488572092,0.10919800365257941,0.77370180687822
0.21,3.45,10.0,0.7248260716264688,0.13395439738889414,0.8072269135662044
0.21,3.5,4.0,0.7384819059135412,0.10740548537039207,0.7732015510336622
0.21,3.5,10.0,0.7256842431030629,0.1321791208970643,0.8068298298981209
0.21,3.55,4.0,0.7393433367153845,0.10569834437411674,0.7729253308271824
0.21,3.55,10.0,0.7265939735001962,0.13048862068968786,0.8066938475966307
0.21,3.6,4.0,0.7401975075423544,0.10407261176484496,0.7728460163120079
0.21,3.6,10.0,0.72754403991377,0.1288790783713549,0.8067926891355409
0.21,3.65,4.0,0.741032742397047,0.10252422789702587,0.7729357958987194
0.21,4.5,2.0,0.7597224115945322,0.07632474238770548,0.7797845202318276
0.21,4.5,4.0,0.7415903835020228,0.08381354768700813,0.7725802110738818
0.21,4.5,6.0,0.7354998311812513,0.09516140257916145,0.7909791220734054
0.215,3.15,4.0,0.7328889417921661,0.12238129826511635,0.7818386655773608
0.215,3.15,10.0,0.7210497996185831,0.1483232598069186,0.8160197035150509
0.215,3.2,4.0,0.7334948090904679,0.1199991664157506,0.779543316982851
0.215,3.2,10.0,0.7213630877105921,0.14596329637564764,0.8136186967578345
0.215,3.25,4.0,0.7341713065818352,0.11772381855310933,0.7776108388573523
0.215,3.25,10.0,0.7217899119656775,0.1437085638154535,0.8116107096567928
0.215,3.3,4.0,0.7349078250695259,0.11555198372512578,0.7760204346102986
0.215,3.3,10.0,0.722320584171029,0.14155594424556212,0.8099763504888249
0.215,3.35,4.0,0.7356934933845778,0.11348026026466114,0.7747499930715046
0.215,3.35,10.0,0.7229450745776581,0.13950218941118783,0.8086948299687654
0.215,3.4,4.0,0.7365172133851685,0.1115051220363513,0.7737761841407449
0.215,3.4,8.0,0.730271267442439,0.1339492863635367,0.8061009817840145
0.215,3.4,10.0,0.723653044406358,0.13754392667669368,0.8077440514791175
0.215,3.45,4.0,0.7373676958574261,0.10962292486523165,0.7730745596766155
0.215,3.45,8.0,0.7308152799970208,0.13204943887881915,0.8055381978923831
0.215,3.45,10.0,0.7244338794656207,0.1356776652024383,0.8071007067747915
0.215,3.5,4.0,0.7382334972065616,0.10782991314031108,0.7726196591580801
0.215,3.5,10.0,0.7252767247484402,0.13389980229566803,0.80674037676372
0.215,3.55,4.0,0.7391030568035796,0.106122226576022,0.7723851196653555
0.215,3.55,10.0,0.7261705199031276,0.13220662992079152,0.8066376368953075
0.215,3.6,4.0,0.7399647348598952,0.10449590712632377,0.7723437896772586
0.215,3.65,4.0,0.7408068506927731,0.10294690603378429,0.7724678461768576
0.215,4.5,2.0,0.7597880581803386,0.07615469737052329,0.7794424920802372
0.215,4.5,4.0,0.7413876812265994,0.0842314491823132,0.772162889677775
0.215,4.5,6.0,0.7350563824433198,0.09608509119362815,0.7905704076172677
0.22,3.05,4.0,0.7316393164840526,0.12796873051702504,0.7866159857172798
0.22,3.1,4.0,0.732087077766878,0.1253640195891018,0.7836127571932535
0.22,3.1,10.0,0.7206353367723578,0.15263240476311465,0.8184691017057979
0.22,3.15,4.0,0.732625245965873,0.12287207273033073,0.7810065274711753
0.22,3.15,10.0,0.7208149231327996,0.15016260255678293,0.81571836950295
0.22,3.2,4.0,0.7332438202104445,0.12048990913132517,0.7787792946563645
0.22,3.2,10.0,0.7211168256296471,0.1478008315599068,0.813375572079975
0.22,3.25,4.0,0.7339324721112934,0.11821440554995581,0.7769115777570993
0.22,3.25,10.0,0.7215317151784172,0.1455441222467117,0.8114226988660359
0.22,3.3,4.0,0.7346805786039622,0.11604230214241723,0.7753825008395692
0.22,3.3,10.0,0.7220498907447194,0.14338936901871166,0.8098402655188458
0.22,3.35,4.0,0.7354772559392995,0.1139702084908357,0.7741698832006881
0.22,3.35,8.0,0.7294963821494204,0.13740531265843778,0.8066115112472466
0.22,3.35,10.0,0.7226613106979405,0.1413333359804389,0.8086073985098683
0.22,3.4,4.0,0.736311394698221,0.11199460983505136,0.7732503351514802
0.22,3.4,8.0,0.7299773312219098,0.13541083399839005,0.8058007524313998
0.22,3.4,10.0,0.7233556253863678,0.13937266291844347,0.8077019255680119
0.22,3.45,4.0,0.7371716957137896,0.11011187348607818,0.7725993590029029
0.22,3.45,8.0,0.7305151187149238,0.13350986316683058,0.8052831461964954
0.22,3.45,10.0,0.7241222108055683,0.13750387145564394,0.8071004715840591
0.22,3.5,4.0,0.7380467067772793,0.10831825540356613,0.7721914547966511
0.22,3.5,10.0,0.724950203259324,0.13572337138635154,0.8067785595501891
0.22,3.55,4.0,0.738924860000085,0.1066099069471077,0.7720002303166305
0.22,3.55,10.0,0.7258285348788515,0.13402746716445002,0.8067107160797724
0.22,3.6,4.0,0.7397945096950208,0.10498288176653958,0.77199851488131
0.22,3.65,4.0,0.7406439706464444,0.10343314283555785,0.772158476412004
0.22,4.5,2.0,0.7599178959113774,0.07603190170079091,0.7792933813915763
0.22,4.5,4.0,0.7412558776363958,0.08471138294769359,0.7719333339609218
0.22,4.5,6.0,0.7346903563128128,0.09708465644997973,0.7903405641677206
0.225,3.0,4.0,0.7310478228361698,0.1312480718195074,0.7891262977926571
0.225,3.05,4.0,0.7314102844171728,0.1285281459583686,0.7857890666687537
0.225,3.1,4.0,0.731872288283521,0.12592364929404018,0.782862189158579
0.225,3.1,10.0,0.720492594966962,0.154580097802614,0.8182327226992108
0.225,3.15,4.0,0.7324241754124742,0.1234317604091913,0.7803291147926981
0.225,3.15,6.0,0.7303551023457563,0.13677833291848676,0.7937060723030718
0.225,3.15,10.0,0.7206618274618748,0.15210872415296248,0.8155450353407547
0.225,3.2,4.0,0.7330559288674563,0.12104951004649676,0.7781717455121587
0.225,3.2,6.0,0.7306126041699094,0.1343656144510107,0.7915793254286855
0.225,3.2,10.0,0.7209528361421967,0.1497451853820535,0.8132622531288923
0.225,3.25,4.0,0.7337572054106515,0.11877378670550068,0.776370513670582
0.225,3.25,10.0,0.721356278638722,0.1474865248794108,0.8113662676872285
0.225,3.3,4.0,0.7345173683785765,0.1166013424516886,0.7749044663789247
0.225,3.3,10.0,0.7218624415038417,0.14532965006890522,0.8098375051008568
0.225,3.35,4.0,0.7353255216918989,0.11452879893103965,0.7737513558319633
0.225,3.35,8.0,0.7292854337787581,0.13896321274306067,0.8064060381285109
0.225,3.35,10.0,0.7224612716287905,0.14327133817072515,0.8086550107385139
0.225,3.4,4.0,0.7361705448985159,0.11255265357770532,0.7728877352108587
0.225,3.4,8.0,0.7297612210926095,0.13696768272590357,0.8056455733776164
0.225,3.4,10.0,0.7231424088738959,0.14130824215295903,0.8077965398975457
0.225,3.45,4.0,0.7370411291057786,0.11066928600607794,0.7722890597551497
0.225,3.45,8.0,0.7302932522732707,0.13506552536628438,0.8051747419812088
0.225,3.45,10.0,0.7238952197982998,0.13943689687068042,0.807238653879515
0.225,3.5,4.0,0.7379258137087429,0.10887496457800899,0.7719297925421081
0.225,3.5,10.0,0.7247088323700513,0.13765372537948029,0.8069568210744625
0.225,3.55,4.0,0.7388130237581083,0.10716585312499087,0.7717835145175825
0.225,3.6,4.0,0.7396911078470785,0.10553801782369537,0.771823038268137
0.225,3.65,4.0,0.7405483763907139,0.10398743420819734,0.7720205250386363
0.225,4.5,2.0,0.7601161617072533,0.07596108765129199,0.7793491576968872
0.225,4.5,4.0,0.7411992197264785,0.08525795675948675,0.7719038729445984
0.225,4.5,6.0,0.7344059760768169,0.09816455382506542,0.7903020331324813
0.23,3.0,4.0,0.7308694134917598,0.13188029178620683,0.7883816988111926
0.23,3.05,4.0,0.7312471032644114,0.12916074643305783,0.7851257629216175
0.23,3.05,10.0,0.7204059689337909,0.1592214208943471,0.8211759317863011
0.23,3.1,4.0,0.7317238258653871,0.1265564506848756,0.7822770570830547
0.23,3.1,6.0,0.7300463229011284,0.14048622394803342,0.7956994973384678
0.23,3.1,10.0,0.7204351591667861,0.15663812715815442,0.8181346363206019
0.23,3.15,4.0,0.732289905322277,0.12406459522865532,0.7798189275566136
0.23,3.15,6.0,0.7302162172880426,0.13796305974612855,0.7932547116116349
0.23,3.15,10.0,0.7205945355520642,0.15416525799488512,0.8155118460825981
0.23,3.2,4.0,0.7329353089317092,0.12168222312973279,0.7777331823926126
0.23,3.2,6.0,0.730479317360064,0.13555052624078967,0.7911966038205576
0.23,3.2,10.0,0.7208751432457859,0.15180001180958014,0.8132908938993941
0.23,3.25,4.0,0.7336496789018523,0.11940623540876268,0.7760001696342222
0.23,3.25,10.0,0.7212676270376693,0.14953944562312763,0.8114535765563249
0.23,3.3,4.0,0.734422365251436,0.11723339683020272,0.7745988618430388
0.23,3.3,10.0,0.7217622615081908,0.14738048061338768,0.8099802336522619
0.23,3.35,4.0,0.735242459848193,0.11516034189898915,0.7735069465574048
0.23,3.35,8.0,0.7291559231043625,0.14062040930615904,0.8063565200845212
0.23,3.35,10.0,0.7223489824960291,0.1453199078490427,0.808849832630809
0.23,3.4,4.0,0.7360988314624899,0.11318358104581973,0.7727009223059985
0.23,3.4,8.0,0.7296270184285849,0.13862379207336,0.8056479627976317
0.23,3.4,10.0,0.723017419787252,0.1433543942290276,0.8080400596085054
0.23,3.45,4.0,0.7369801617272379,0.11129950700154646,0.7721561997473985
0.23,3.45,8.0,0.7301537611742981,0.136720402075053,0.8052255019715971
0.23,3.45,10.0,0.7237569309029956,0.14148048859680895,0.8075274156058591
0.23,3.5,4.0,0.7378749818678547,0.10950440133918596,0.771847207487724
0.23,3.55,4.0,0.7387717100868881,0.10779444117963077,0.7717475021078581
0.23,3.6,4.0,0.7396586894542587,0.10616570604218074,0.7718298819087264
0.23,3.65,4.0,0.7405242261892604,0.10461418483808663,0.7720665038549124
0.23,4.5,2.0,0.7603869793323833,0.07594691510727444,0.7796214221262564
0.23,4.5,6.0,0.734207342224639,0.09932913456887489,0.7904669022209425
0.235,3.0,4.0,0.7307604339881975,0.13258976778762413,0.787810982439534
0.235,3.05,4.0,0.7311538300854348,0.12987062347397302,0.7846382139763859
0.235,3.05,6.0,0.7299038550924275,0.14439756571790305,0.7981188455643141
0.235,3.1,4.0,0.7316457462985512,0.12726653665122967,0.7818695159754049
0.235,3.1,6.0,0.7299780292608802,0.14176143342620756,0.7953460576248025
0.235,3.15,4.0,0.7322264900390216,0.12477471085168795,0.7794881336342159
0.235,3.15,6.0,0.730154535649679,0.13923866241981558,0.7929748934991765
0.235,3.2,4.0,0.732886013156645,0.12239220221606746,0.7774757833998015
0.235,3.2,6.0,0.7304237060861736,0.13682631516553256,0.7909871333241519
0.235,3.25,4.0,0.7336139436202643,0.12011592504940148,0.7758127313715896
0.235,3.3,4.0,0.7343996184376286,0.11794265759104212,0.7744778779790077
0.235,3.3,10.0,0.7217532397642519,0.14954541298599505,0.8102803094249892
0.235,3.35,4.0,0.7352321177115989,0.11586904798492258,0.7734488485730121
0.235,3.35,8.0,0.7291118000803736,0.14238071486166054,0.8064751517832134
0.235,3.35,10.0,0.7223283321020322,0.14748261606496105,0.8092037214587975
0.235,3.4,8.0,0.7295786722604816,0.14038299242168675,0.8058201139473168
0.235,3.4,10.0,0.7229845464552179,0.14551470825182594,0.8084443386205766
0.235,3.45,8.0,0.7301005933565364,0.13847834086677646,0.8054476155679076
0.235,4.5,6.0,0.7340984251151205,0.10058263795274802,0.7908468759271126
0.235,4.5,8.0,0.733887126093818,0.11279109030535636,0.8133837868829041
0.24,3.0,4.0,0.730724815353682,0.13338046174007095,0.7874259170241621
0.24,3.05,4.0,0.7311343945341305,0.1306617610032463,0.7843382035716973
0.24,3.05,6.0,0.7299085469505944,0.14576677794532703,0.7978685392452793
0.24,3.1,4.0,0.731641977678159,0.1280579125564376,0.7816513623338991
0.24,3.1,6.0,0.7299903383224744,0.1431313086034292,0.7951743403497925
0.24,3.15,4.0,0.7322378559293908,0.1255661335033463,0.7793485396665238
0.24,3.15,6.0,0.7301739313714248,0.14060896604940656,0.7928785494785667
0.24,3.2,4.0,0.7329119660404854,0.12318349379863808,0.7774113627213903
0.24,3.2,6.0,0.7304496433432365,0.13819682668472738,0.790962852965937
0.24,4.5,6.0,0.7340830578633817,0.10192918370297849,0.7914532468813799
0.24,4.5,8.0,0.7336909633326012,0.11461679578996223,0.8140532513173805
0.245,3.0,4.0,0.7307663546577576,0.134256220980072,0.787237890005505
0.245,3.05,4.0,0.7311925920044254,0.131538028399679,0.7842371316491041
0.245,3.1,4.0,0.7317163135371323,0.12893446927031704,0.7816340060089776
0.245,4.5,8.0,0.7335982828562967,0.1165514719837023,0.8149500529695752
