w,r,n,R,P,U
0.23039568989127995,3.064441222654196,10.0,0.7204002485143447,0.15863155686719482,0.8202482785712889
0.23020828784469843,3.0653857106686875,10.0,0.7204003434380203,0.1585027948491389,0.8201916862658082
0.23033342942912183,3.0730032113603554,10.0,0.7204023053225188,0.1581603494381519,0.8197199766067501
0.22981129647385337,3.076201231473664,10.0,0.7204049026136089,0.15777403407549645,0.8195313341335835
0.22609312506736648,3.0898463701745436,10.0,0.720454365477371,0.15553584568451262,0.8187928938260055
0.23238188286198574,3.110893331786617,10.0,0.7204619013532352,0.15711012979447098,0.8175404680010728
0.23192885278829775,3.111817987843961,10.0,0.7204620338276906,0.15686781637400274,0.8174853327279993
0.23269077656382217,3.120304413230003,10.0,0.7204884066355972,0.15677489413759596,0.8170432929386758
0.2245561148151614,3.1038204167664527,10.0,0.720510370908773,0.15421008328444535,0.8180278142707518
0.2335749335148483,3.139675790521386,10.0,0.7205594735466734,0.15620720854140974,0.8160790592641681
0.22038305014880463,3.08770545679114,10.0,0.7205972776978047,0.15340200089847106,0.8191859565810788
0.2202518159080159,3.0951455321327486,10.0,0.7206156344624556,0.1529735726598739,0.8187431841306589
0.23092001632581768,3.163149780274061,10.0,0.7206537558519471,0.15392353488650765,0.8149027213172164
0.22570742361973486,3.167496013813503,10.0,0.7207349368293448,0.15155365485504424,0.8146906733009938
0.22878751101916633,3.176911652513517,10.0,0.7207406320489719,0.15237019111156164,0.8142539246491501
0.22522218837262034,3.1712180023062575,10.0,0.7207659403138492,0.1511817154366886,0.8145245019872239
0.228846258597776,3.188339121037973,10.0,0.7208088490694187,0.15185792534902484,0.8137573302695564
0.22077359807330973,3.1570451402265793,10.0,0.7208208951458441,0.15011734126522874,0.8153297941086445
0.21664031946685575,3.134075883208974,10.0,0.7208907369387305,0.14968950761543365,0.8167514140680506
0.22095954965355796,3.181485313509258,10.0,0.7209541789264178,0.14902784514518524,0.8141603080117702
0.21680660762106105,3.1676790067609946,10.0,0.7210515091028034,0.14812889098349324,0.8150093027563113
0.2294832429280167,3.234084761839136,10.0,0.7211358105311955,0.1500303602776792,0.811983835470042
0.21442445314618797,3.1617902133377807,10.0,0.7211453541389972,0.14755213473815362,0.8154579088024028
0.2116598403709601,3.147938927796277,10.0,0.7212395595867049,0.14725168592173593,0.8163954571956038
0.21142498025877868,3.1617898746351463,10.0,0.7213306790484747,0.1465056874171167,0.8156944749989038
0.21675280793009502,3.2159284231881644,10.0,0.7213904244560732,0.14586576260822734,0.8128442283305941
0.21672929693422596,3.2228888520464527,10.0,0.7214488498024931,0.14554162850315475,0.8125626130281094
0.22994824279912934,3.2743458531189535,10.0,0.7214968444149803,0.14845389424917943,0.8106900176220657
0.21183188825879784,3.2078688971333755,10.0,0.7216209184554898,0.1444910082914948,0.8134872161597396
0.20768709065620644,3.179867485929198,10.0,0.7217152805792116,0.14439652231073227,0.8151330733999811
0.21482289264179705,3.2474071416273214,10.0,0.7217757292746291,0.14375984045241802,0.8117144951575328
0.21007646684384598,3.22164862235331,10.0,0.7218585956510546,0.14326641409129875,0.8130331960728057
0.21476459625006236,3.2697194968815597,10.0,0.7220017115702163,0.14276376448145306,0.8109335602569571
0.2079675101825844,3.2244788686826067,10.0,0.7220445816423497,0.1424367928709666,0.8130883662551884
0.2113702726534698,3.2595716226391955,10.0,0.7221224536589619,0.1420212226384379,0.8114742048027079
0.2072000703729842,3.243161273733086,10.0,0.722280607078154,0.14135125200259932,0.812400319941368
0.20994815179064025,3.2677716361990377,10.0,0.7223124366546342,0.14118270661756893,0.8112805831347156
0.20990223924865362,3.2764150524589275,10.0,0.722409022419047,0.14079454453596865,0.8109888437106023
0.20405667948700054,3.2435747876997483,10.0,0.7225588825364676,0.14032862153723694,0.8126714319062897
0.20991368689517384,3.3139610102519126,10.0,0.7228462343637663,0.1392139315347163,0.8098326703417218
0.19844987600736289,3.2427100333828283,10.0,0.7231062729595384,0.13866730005209874,0.813306047307887
0.20669640101022713,3.3149547378983852,10.0,0.7231269139178026,0.1381134639060656,0.8100203535700984
0.2022399024884544,3.3068463384306366,10.0,0.7234447795441165,0.13704844827893772,0.8106294435321681
0.21655505064820096,3.4233683496362586,10.0,0.7239062215152565,0.1372176401454548,0.8073857013586291
0.21655471820896455,3.4270326349228646,10.0,0.7239631911288832,0.137080729714107,0.8073396586968764
0.2116246075715813,3.428637895621483,10.0,0.7243439643325892,0.13528886595805045,0.8074230471378399
0.21017761063755705,3.426941483536837,10.0,0.7244357265069278,0.1348622336079616,0.8074979281914286
0.20071347403531845,3.3940970453112804,10.0,0.7248367249701377,0.13309799415009346,0.8086153490848222
0.19303750297550348,3.3522091393388718,10.0,0.7251081582278422,0.1325366384995154,0.8103021242496758
0.19276871028300704,3.382965309627716,10.0,0.7256113475087644,0.13125642051081318,0.8096060608128667
0.19140307742482404,3.391269785373149,10.0,0.7259224409454523,0.1305684391284406,0.8095808858171819
0.21441601346226466,3.5444506723939635,10.0,0.7261142845274914,0.13218456702821668,0.8066377003697062
0.190086454705259,3.4066713109723414,10.0,0.726352311282681,0.12963340009451527,0.8094236460345015
0.19402439253732806,3.464680326421519,10.0,0.7268295604168387,0.1285629880383404,0.8081481283422116
0.2025459119351527,3.547192913333189,10.0,0.7273136027324517,0.12820205148996938,0.806993841257707
0.19244066049351055,3.503373785145678,10.0,0.7277576682099042,0.12677570662703294,0.8079438869995974
0.1849826051290706,3.4659361910806217,10.0,0.7281376153007121,0.12616201845971667,0.809088950514268
0.1881246315501612,3.5081015059233778,10.0,0.7284665578041531,0.12547996314841584,0.8083397067961143
0.18770249299910552,3.5178377331585113,10.0,0.7287192711743911,0.12504135670734523,0.8083202840112426
0.19250767072103397,3.572312241824208,10.0,0.7291006694337735,0.12450397546903888,0.8076974053023884
0.22884934569991797,3.3556751276752173,8.0,0.7292287408868182,0.13999864137006046,0.8062564465349247
0.18768465718345526,3.547698985345764,10.0,0.7293157906174849,0.12404140928671224,0.8081890965031803
0.22878111277318874,3.3734570747940302,8.0,0.7293936565606002,0.13925864823795142,0.8059778236184963
0.22831910827434054,3.386663939766544,8.0,0.7295307761458996,0.13857889951839497,0.8057933851421385
0.21786257858248936,3.372878980567115,8.0,0.7298237694125755,0.1358443855791806,0.8063251121381584
0.23284767428036135,3.4370781585587,8.0,0.7299725590285323,0.13819210284334377,0.8054062864493036
0.2326280970725944,3.4384155732370476,8.0,0.7299890219157108,0.13806436816285472,0.8053879914548169
0.19282365706434537,3.628130161919885,10.0,0.7302027571754988,0.12284617247704374,0.8078081020915916
